Error Code,Meaning/Message
00, Continue The server has received the request headers and the client should proceed to send the request body (in the case of a request for which a body needs to be sent; such as a POST request). Sending a large request body to a server after a request has been rejected for inappropriate headers would be inefficient. To have a server check the request's headers; a client must send Expect: 100-continue as a header in its initial request and receive a 100 Continue status code in response before sending the body. If the client receives an error code such as 403 (Forbidden) or 405 (Method Not Allowed) then it should not send the request's body. The response 417 Expectation Failed indicates that the request should be repeated without the Expect header as it indicates that the server does not support expectations (this is the case; for example; of HTTP/1.0 servers).[2]: §10.1.1 
101, Switching Protocols The requester has asked the server to switch protocols and the server has agreed to do so.
102, Processing (WebDAV; RFC 2518) A WebDAV request may contain many sub-requests involving file operations; requiring a long time to complete the request. This code indicates that the server has received and is processing the request; but no response is available yet.[3] This prevents the client from timing out and assuming the request was lost. The status code is deprecated.[4]
103, Early Hints (RFC 8297) Used to return some response headers before final HTTP message.[5]

2xx, success A success status indicates that the action requested by the client was received; understood; and accepted.[1]

200, OK Standard response for successful HTTP requests. The actual response will depend on the request method used. In a GET request; the response will contain an entity corresponding to the requested resource. In a POST request; the response will contain an entity describing or containing the result of the action.
201, Created The request has been fulfilled; resulting in the creation of a new resource.[6]
202, Accepted The request has been accepted for processing; but the processing has not been completed. The request might or might not be eventually acted upon; and may be disallowed when processing occurs.
203, Non-Authoritative Information (since HTTP/1.1) The server is a transforming proxy (e.g. a Web accelerator) that received a 200 OK from its origin; but is returning a modified version of the origin's response.[2]: §15.3.4 [2]: §7.7 
204, No Content The server successfully processed the request; and is not returning any content.
205, Reset Content The server successfully processed the request; asks that the requester reset its document view; and is not returning any content.
206, Partial Content The server is delivering only part of the resource (byte serving) due to a range header sent by the client. The range header is used by HTTP clients to enable resuming of interrupted downloads; or split a download into multiple simultaneous streams.
207, Multi-Status (WebDAV; RFC 4918) The message body that follows is by default an XML message and can contain a number of separate response codes; depending on how many sub-requests were made.[7]
208, Already Reported (WebDAV; RFC 5842) The members of a DAV binding have already been enumerated in a preceding part of the (multistatus) response; and are not being included again.
226, IM Used (RFC 3229) The server has fulfilled a request for the resource; and the response is a representation of the result of one or more instance-manipulations applied to the current instance.[8]

3xx, redirection A 3xx status indicates that the client must take additional action; generally URL redirection; to complete the request.[1] A user agent may carry out the additional action with no user interaction if the method used in the additional request is GET or HEAD. A user agent should prevent cyclical redirects.[2]: §15.4 

300, Multiple Choices Indicates multiple options for the resource from which the client may choose (via agent-driven content negotiation). For example; this code could be used to present multiple video format options; to list files with different filename extensions; or to suggest word-sense disambiguation.
301, Moved Permanently The link target was moved such that the request and future similar requests should be redirected to the given URI. If a client has link-editing capabilities; it should update references to the request URL. The response is cacheable unless indicated otherwise. Except for a GET request; the body should contain a hyperlink to the new URL(s). Except for a GET or HEAD request; the client must ask the user before redirecting.[9] This code is considered best practice for upgrading users from HTTP to HTTPS. Both Bing and Google recommend using this code to change the URL of a page as it is shown in search engine results; providing that URL will permanently change and is not due to be changed again any time soon.[10][11]
302, Found Indicates that the resource is accessible via an alternate URL indicated in the Location header field. The HTTP/1.0 specification (which used reason phrase "Moved Temporarily") required the client to redirect with the same method;[12] but popular browsers instead changed the request to GET.[13] For this reason; HTTP/1.1 (RFC 2616) added two status codes: 303 which requires changing the request to a GET and 307 which preserves the original request type. Despite the greater clarity provided by this disambiguation; the 302 code is still used in web frameworks to preserve compatibility with browsers that do not support HTTP/1.1.[14][2]: §15.4  As a consequence; RFC 7231 (the update of RFC 2616) changes the definition to allow user agents to rewrite POST to GET.[15]
303, See Other (since HTTP/1.1) If a server responds to a POST or other non-idempotent request with this code and a location header field; the client is expected to issue a GET request to the specified location. To trigger a request to the target resource using the same method; the server responds with 307 instead. Use of this code has been proposed[16] as one way of responding to a request for a URI that identifies a real-world object according to Semantic Web theory (the other being the use of hash URIs).[17][16] For example; if http://www.example.com/id/alice identifies a person; Alice; then it would be inappropriate for a server to respond to a GET request with 200 OK; as the server could not deliver Alice herself. Instead; the server would respond with 303 to redirect to a URI that provides a description of the person Alice.[16] Sometimes; this code is used when providing an HTTP-based web API that needs to respond to the caller immediately; but continue executing asynchronously; such as a long-lived image conversion. The web API provides a status check URI that allows the client to check on the operation's status. When complete; the response may contain this status code and a redirect URI to the final result.[18]
304, Not Modified Indicates that the resource has not been modified since the version specified by the request headers If-Modified-Since or If-None-Match. In such case; there is no need to retransmit the resource since the client still has a previously-downloaded copy.
305, Use Proxy (since HTTP/1.1) The requested resource is available only through a proxy; the address for which is provided in the response. For security reasons; many HTTP clients (such as Mozilla Firefox and Internet Explorer) do not obey this status code.[19]
306, Switch Proxy No longer used. Originally meant "Subsequent requests should use the specified proxy."
307, Temporary Redirect (since HTTP/1.1) In this case; the request should be repeated with another URI; however; future requests should still use the original URI. In contrast to how 302 was historically implemented; the request method is not allowed to be changed when reissuing the original request. For example; a POST request should be repeated using another POST request.
308, Permanent Redirect This and all future requests should be directed to the given URI. 308 parallels the behavior of 301; but does not allow the HTTP method to change. So; for example; submitting a form to a permanently redirected resource may continue smoothly.

4xx, client error A The Wikimedia 404 message 404 error on Wikimedia A 4xx status code is for situations in which an error seems to have been caused by the client. Except when responding to a HEAD request; the server should include an entity containing an explanation of the error situation; and whether it is a temporary or permanent condition. These status codes are applicable to any request method. User agents should display any included entity to the user.

400, Bad Request The server cannot or will not process the request due to an apparent client error (e.g.; malformed request syntax; size too large; invalid request message framing; or deceptive request routing).
401, Unauthorized Similar to 403 Forbidden; but specifically for use when authentication is required and has failed or has not yet been provided. The response must include a WWW-Authenticate header field containing a challenge applicable to the requested resource. See Basic access authentication and Digest access authentication. 401 semantically means "unauthenticated"; the user does not have valid authentication credentials for the target resource.
